catagory,action-link-href,name,company,rate,privacy-policy-link-href
Weather,https://assistant.google.com/services/a/uid/000000f01f6452da,The Long Island Fishing Report,,5,https://docs.google.com/document/d/1jR3l1fhpRpSPQrJvYKsG06c4GsTfqyG1xjrbkiWnyCc/edit
Health & fitness,https://assistant.google.com/services/a/uid/000000d973b3b979,Body Workout,SMARTVILA APLICACIONS SL,5,https://docs.google.com/document/d/1jspyq2avLJXTWVmmjwlAyo9Lqxd_4D3qDQ3kEfkOvXQ/edit?usp=sharing
Education & reference,https://assistant.google.com/services/a/uid/000000c9b325ce40,People in Space,,3.4,https://docs.google.com/document/d/1juI7ZOQkZfMLcp35WIOsD0-65GCh7PqU3lztEMkxuWw/edit?usp=sharing
Kids & family,https://assistant.google.com/services/a/uid/000000e27c5d21b9,The Ninetys Cartoon Trivia,killua,5,https://docs.google.com/document/d/1jXgtDICJTWHEo8Tv5_DJ35IaVCOQGHsVQY0xxpsqtkU/edit?usp=sharing
Education & reference,https://assistant.google.com/services/a/uid/000000b076241dd6,First Ever Women,Deepika Jillepalli,4.9,https://docs.google.com/document/d/1JymM15NoN5eFh16rnKmo6OtW5wh6d0LphdV3QA9GJDg/edit?usp=sharing
Arts & lifestyle,https://assistant.google.com/services/a/uid/000000984eda8693,Indian art guru,Ruchi Sailor,5,https://docs.google.com/document/d/1jYyWEHlx8pZOXTrbhEzW2zHnLbn-lYjR-JjWu5j-KqE/edit?usp=sharing
Kids & family,https://assistant.google.com/services/a/uid/0000008dca5e367b,Monster Chaser,GWP,4,https://docs.google.com/document/d/1jzQhm66bIk9xoBjOgghKO8oFgYBT7eOYg1zqvPKAn58/edit?usp=sharing
Music & audio,https://assistant.google.com/services/a/uid/000000b4741a28b3,killer Dr. Dj,Garvit Kataria,4.5,https://docs.google.com/document/d/1K_muE9gEEAtruqhxjBDhkkrvn9DLIPVxgZkEqS1UIcQ/edit?usp=sharing
Games & fun,https://assistant.google.com/services/a/uid/000000e12f8118db,flip the coin,Yashash Jain,0,https://docs.google.com/document/d/1k1rb1pvrORFebfAVwWWjOSdKOgJVexGWFKUsSLgHPKg/edit?usp=sharing
Games & fun,https://assistant.google.com/services/a/uid/0000005b694a47ca,What Animal?,Carv,4.4,https://docs.google.com/document/d/1k4YZZEN2Bsu0JA3wiyw1b_KYUkoZOVhGcYAO61n5rkI/edit?usp=sharing
Food & drink,https://assistant.google.com/services/a/uid/0000005e24b4afe7,Thapar Mess,Vidushi Agarwal,4.8,https://docs.google.com/document/d/1K7PrKD25yykB0M14-CIqF9gDq0UyG1HV60eUy_mY1js/edit?usp=sharing
Health & fitness,https://assistant.google.com/services/a/uid/00000086c8714a4d,Running facts,COFINITE Tech Labs,5,https://docs.google.com/document/d/1KCb8IrV7qcvYSo4SkEIHT4ehR8syd9mopZ-HI1Nou5Y/edit?usp=sharing
Travel & transportation,https://assistant.google.com/services/a/uid/000000c22ffc1642,Bike Hunt,Thomas Hecker,3.8,https://docs.google.com/document/d/1kCf85Ggj-u1K4OssWk-9Sc1r7GW7C0LY1eMTmsT7Nss/edit?usp=sharing
Education & reference,https://assistant.google.com/services/a/uid/0000007dafaf94d0,Antenna Calculator,Todd Johnson,0,https://docs.google.com/document/d/1KDn7Ph_cIGRtkMiEMG9MeEUUK3kA3qjFTP-NzVC7d6E
Productivity,https://assistant.google.com/services/a/uid/0000006bf1be826a,Check substitution,Denis V.,4.5,https://docs.google.com/document/d/1kdOfKDz83xcDXbOS2v3THEBLWUshVa3SF2gWIsn9HhE/edit?usp=sharing
Music & audio,https://assistant.google.com/services/a/uid/000000e8f0f7de54,Let's rock and roll,The Sluice Gate,4.3,https://docs.google.com/document/d/1KDVbWaQ8EYyywpQaCG1B9QLUedvW_ymia9HitJoK1ZI/edit?usp=sharing
Sports,https://assistant.google.com/services/a/uid/000000aa3d2cf773,CR Trivia,Inceptions,5,https://docs.google.com/document/d/1kED3sRh_4E0r7_yL_Q7nkRos7XPWeyl0FvSeB26ZVto/edit?usp=drivesdk
Education & reference,https://assistant.google.com/services/a/uid/0000000dc95b9df3,Data Science Journey,Hansraj college,4.8,https://docs.google.com/document/d/1kFS4sLE7mtHr3akwbFUzuGdB9UfojfybwGGt5-ZoEi4/edit?usp=sharing
Kids & family,https://assistant.google.com/services/a/uid/0000004aa36b0979,quiz doraemon,Prakhar Sahu,0,https://docs.google.com/document/d/1Kg0uiQqsLabeDcsLX4Ito1pMS02wfZcBhkf4Q7yWCes/edit
Games & fun,https://assistant.google.com/services/a/uid/00000071f249016d,Daily Quoter,Sanketzade,4.3,https://docs.google.com/document/d/1kIOED0zoYPJyC-1AvlyRERFlI8V_zjF2_utmLXaab2g/edit?usp=sharing
Health & fitness,https://assistant.google.com/services/a/uid/000000df95b28885,Self Reflection,,3.1,https://docs.google.com/document/d/1KiWISQWp1eGEdIp3QI5DIITHmIvgleD_KwLDBiF-xi4
Sports,https://assistant.google.com/services/a/uid/000000e872d43e71,Unbeatable records in Cricket,ANKIT SHARMA,5,https://docs.google.com/document/d/1KkEqBZDOazgs9bJ_Ck-FWDYUmEZFZ9P99NJDVRsAq7w/edit?usp=sharing
Food & drink,https://assistant.google.com/services/a/uid/00000094a4ae3dac,Wine Guide,Stu Carnes,4.4,https://docs.google.com/document/d/1KKIf-KPEhG9QRTZk8-H2Ao8ysR5HCnPEMJVVmXMs0hU/pub
Games & fun,https://assistant.google.com/services/a/uid/0000000cb369426d,Mr Fun,Sashakt Keshri,4.4,https://docs.google.com/document/d/1kNcqBbVXB-SHN57bx69m5g0mHP_c-A0o9evcw41D9M0/edit?usp=sharing
Food & drink,https://assistant.google.com/services/a/uid/00000075e183ed36,Pizza Menu,VoiceDove,5,https://docs.google.com/document/d/1Ko2lJgW7s7djBhIfrFjlCOdFgg9Nvrilf4H53G7ZlH8/edit?usp=sharing
Sports,https://assistant.google.com/services/a/uid/000000c8f83b5b09,Golden Ball,Natasha,4.2,https://docs.google.com/document/d/1KOsV2CKgOqmnMAv9R-aPncra4Ygr9jqvrRl0VAV9FLw/edit?usp=sharing
Food & drink,https://assistant.google.com/services/a/uid/000000f3580fb305,Cocktail Bartender,,3.9,https://docs.google.com/document/d/1Kp-U4Yz0IX1wMf63L2LxALlyK_Em0YUEk9ruPGcp7D0
Kids & family,https://assistant.google.com/services/a/uid/00000065d14eac7b,Cartoon master,,5,https://docs.google.com/document/d/1KQ4lxYCVaUgKOjf8HMBRTrogjY7NYVBgIqusS-YGJS4/edit
Education & reference,https://assistant.google.com/services/a/uid/00000067a65fdaa8,Ruby Quiz,,5,https://docs.google.com/document/d/1K-qYmhLvKJmXSFdQE5N0iyF-bzj3XX9Ar7hUyltYUkM/edit?usp=sharing
Food & drink,https://assistant.google.com/services/a/uid/0000009f815d8acf,Masoor Dal,Igor Razvodovsky,4.4,https://docs.google.com/document/d/1Kr0hUxqjSL8aHzDQ7k2XhVCMP7NbYEv4xAQzZE9zgBY/edit?usp=sharing
Weather,https://assistant.google.com/services/a/uid/000000a10657a48b,Sky Tuner,Sky Tuner,3.8,https://docs.google.com/document/d/1KxdkzkzPTqL-an2sK-JMj7UtX_xTH0oQihEjaQJjVEw/edit?usp=sharing
Kids & family,https://assistant.google.com/services/a/uid/000000b34da259e8,ting ton,brijesh kanani,5,https://docs.google.com/document/d/1l4aEG_f806maQH30gGZbHDv5g6p6sZcrs2-CLxbledw/edit?usp=sharing
Health & fitness,https://assistant.google.com/services/a/uid/0000006f64c82710,Beauty Companion,Apoorva Tiwari,4.4,https://docs.google.com/document/d/1L5-rUqFYImtEFI_gQVWSejUDyz8lVbSBOl5tUb444Fs/edit
Kids & family,https://assistant.google.com/services/a/uid/000000005d4b20ab,Read a story,Sakshi Munjal,0,https://docs.google.com/document/d/1l9bQgcWuvcCk0GMD8FGkoB_z4wVhiuwBw2a-XyVWvVY/edit?usp=sharing
Arts & lifestyle,https://assistant.google.com/services/a/uid/00000093e8dc37c3,TarooMe,Mehul Kumar Nirala,3.6,https://docs.google.com/document/d/1lAjoWSJFrMpWT2mkygcxXCcpFLXfEDMwf9ajTAWG5KE/edit
Games & fun,https://assistant.google.com/services/a/uid/0000005421f84e80,Motivate Me,Paul Lucas,3,https://docs.google.com/document/d/1LBxEx7K0vwmRGFU54xTppJ34ni96nTfOupAUScnpwJI/edit?usp=sharing
Health & fitness,https://assistant.google.com/services/a/uid/0000007ddbff9867,Quick Workout,Neal Patel,5,https://docs.google.com/document/d/1Lf4eUnKze2cO2ccYn322yPQspXr-nnCDFC0i23FiOrQ/edit?usp=sharing
Food & drink,https://assistant.google.com/services/a/uid/000000a9d09ea9ea,Hibachi One,VoiceDove,5,https://docs.google.com/document/d/1lfonY8jWpA7o0wEWh2F-1rcL3sU7mRAucOgkdHw5lAw/edit?usp=sharing
Travel & transportation,https://assistant.google.com/services/a/uid/000000c6f079b524,Amritsar Associate,Prasang Singhal,5,https://docs.google.com/document/d/1lg8C5x7_G3rYO0vN_120FMDHvwTejgrfT-i4pHclJOk/edit?usp=sharing
Kids & family,https://assistant.google.com/services/a/uid/0000003e12a025a5,Name My Pup,,3.4,https://docs.google.com/document/d/1lgF81bMokNUhvLB7NcupR7flPaOAtzEnvv17DBqvohQ/edit?usp=sharing
Education & reference,https://assistant.google.com/services/a/uid/000000bfaa2e896d,Technical Boy,Prerak Patel,5,https://docs.google.com/document/d/1LGoMG3fMCGTJMIhJrU5G30z7ubXN5bbyZ0LD2LqEFf4/edit?usp=sharing
Kids & family,https://assistant.google.com/services/a/uid/000000e772d7b187,Baby Animal Name,,1.6,https://docs.google.com/document/d/1LIIH976npvPB4MMMqoNUJUmsbwGFLAEVyJXpV4ChSNI
Health & fitness,https://assistant.google.com/services/a/uid/000000050f34f3b1,Shilpa Shetty Yoga,ArrowAI,0,https://docs.google.com/document/d/1LJ4TpItCTmfbaMrxKqgTg_Z1cZEZy_KC-TCDHl-lj-s/edit?usp=sharing
Arts & lifestyle,https://assistant.google.com/services/a/uid/000000b43bd2d9ba,All about Colors,,3.9,https://docs.google.com/document/d/1LjD-KUH9d8NlmhAHXKQgC-t18tnOVavWMUYOlSuAAs0/edit?usp=sharing
Education & reference,https://assistant.google.com/services/a/uid/000000786487d067,China Facts,Li Wei,3.7,https://docs.google.com/document/d/1ljegs4SclG9T86HPjngAfLuj-eNC6mnk3VfOJe_ccfw/edit?usp=sharing
Kids & family,https://assistant.google.com/services/a/uid/0000005561a6282d,Doctor Numbers,,0,https://docs.google.com/document/d/1lLFqG72yL893R2EzJvv30qnyWtzLrhLLhxibPstAZqI/edit?usp=sharing
Travel & transportation,https://assistant.google.com/services/a/uid/00000077d6d4e836,when I get lost,Su,0,https://docs.google.com/document/d/1LLqaLvo4XvIxu7vuNKbjsCCEAeq46GpSMsJ4Nut-KyA/edit?usp=sharing
"Movies, photos & TV",https://assistant.google.com/services/a/uid/0000008c72e726bd,Info Video,CasasKingBros,4.1,https://docs.google.com/document/d/1LoTL1_RJ_NPOXptPZ5IJ-aTOuQ3u68WYpUA7Ty0MJJs/edit?usp=sharing
Games & fun,https://assistant.google.com/services/a/uid/000000217073dfd7,Super Bowl,,4.4,https://docs.google.com/document/d/1LqhKelviEFalPfRP5iljZHUrWOWRQZseCv8mBxVhkXw/edit?usp=sharing
Education & reference,https://assistant.google.com/services/a/uid/000000682eb9c22f,Vector Prime,Rohan Singh,4.7,https://docs.google.com/document/d/1LrGACW-fpJqizGQjpjuhLfXuhPo6ORJkiO-xLJhxhGM/edit?usp=sharing
Travel & transportation,https://assistant.google.com/services/a/uid/000000f76d727b7d,Tip Rules,United Expeditions,5,https://docs.google.com/document/d/1LsA_NgJVqQu5EbS_oFyVZwRHm2Kya32BlBb_jWERMKo/edit#
Education & reference,https://assistant.google.com/services/a/uid/0000003f592f4545,Data Structure Trivia,,4.7,https://docs.google.com/document/d/1lU7miGNUYAlit5S-4x3LKvnaZqgitoBse38uanCcpNY/edit?usp=sharing
Education & reference,https://assistant.google.com/services/a/uid/000000f93d65f81c,Things BTS Says,savantaehyung,5,https://docs.google.com/document/d/1lUH8dgczYC6_f4wJ9gHgPTiYF1yrJqBQxXd7Ki8yogY/edit?usp=sharing
Arts & lifestyle,https://assistant.google.com/services/a/uid/0000004704bbe0c3,Creative Director,Ricky Lambert,1,https://docs.google.com/document/d/1l-vYJc7AqLSAa6qB2Z9dU8_a615Iabv5prXNYstfB4I/edit#heading=h.z1px4u3jzsns
Arts & lifestyle,https://assistant.google.com/services/a/uid/00000062af794f20,Mr. Outfit Suggester,,5,https://docs.google.com/document/d/1LWDxAS4jhmbgrrQg1-nciuZApBvlJCtsFCDL5QF9WqY/edit?usp=sharing
Travel & transportation,https://assistant.google.com/services/a/uid/0000003e51280c6d,Transit Now,Transit Now app,4.2,https://docs.google.com/document/d/1LyrPfkFKA7mLZAkBJ3xvyEy1_hQVz_Jp-iiDebNkuvY/edit#heading=h.v67kkmug13c4
Arts & lifestyle,https://assistant.google.com/services/a/uid/0000004b52f0bf68,Tokyo Art,Hirokazu Takatama,4.6,https://docs.google.com/document/d/1M1f5hVqRLDRMvZwHUqQNok51HuasSed2hv3FPrZ16Lc/edit?usp=sharing
Kids & family,https://assistant.google.com/services/a/uid/000000ed63404af4,Guess The Letter,,3.2,https://docs.google.com/document/d/1M7fBjVOuVliLmettuHFcItaNg267--nwzEAd9a07dvE/edit
Education & reference,https://assistant.google.com/services/a/uid/0000007dd31da222,Mr India,Aakash,5,https://docs.google.com/document/d/1m91KNgQxoGBWIttAKokaiWZKVHpUivXlvbWGon-o3sQ/edit?usp=sharing
Games & fun,https://assistant.google.com/services/a/uid/00000045f52cd4b8,Snapple Fact,www.WorldRenowned.co,4.4,https://docs.google.com/document/d/1MaP2gb4s-_GIoZPSuiZ9ORmtufNq3pwqbCZJ7Cnlnik/edit?usp=sharing
Games & fun,https://assistant.google.com/services/a/uid/0000005497de2905,Quotes from Star Wars,TheArninator,5,https://docs.google.com/document/d/1MdeE29Dnpg23ZtIYL1uG8zgNA85pyrZHfjKY07ZgaxA/edit?usp=sharing
Games & fun,https://assistant.google.com/services/a/uid/00000035ab5bb959,Which Avenger Am I?,Venkatesh Ramoju,4.3,https://docs.google.com/document/d/1MFUeO5grCZulFmG3UEydZWRgr_uh1wjbvaOxw9Q02hQ/edit?usp=sharing
Education & reference,https://assistant.google.com/services/a/uid/000000fdc940b8a5,Temperature Transform,Zeeshan Ajaz,0,https://docs.google.com/document/d/1MGKEpBdQdW6ErvZ6PG8-kTO0caoSkC3zhyUSp0myP5Q/edit?usp=sharing
Sports,https://assistant.google.com/services/a/uid/000000cee6c0533f,World Champion,,4.3,https://docs.google.com/document/d/1MhShN7eg5c5GA4F1gWZK7n73Xqg6_GolyJAGOBU0OMs
Food & drink,https://assistant.google.com/services/a/uid/000000db61dd803c,mr. foody,,5,https://docs.google.com/document/d/1mJolkczpZAV18KMqRZz6qMWKXKXDLhwWT6uutspYZVQ/edit?usp=sharing
Health & fitness,https://assistant.google.com/services/a/uid/0000003d29056ce7,OCD Finder,Sanjay KV,2.6,https://docs.google.com/document/d/1MK88sWdhAeSEWkgQqISw62a7YrywyLWb7WPIvhCl9vs/edit
Sports,https://assistant.google.com/services/a/uid/0000005a72acfb0a,Football FAQ,Arpit Mallick,5,https://docs.google.com/document/d/1mqVsv69gwiISv-BkOJE3OEJS_7MnuxnqoNQrdV5CgTU/edit?usp=sharing
Sports,https://assistant.google.com/services/a/uid/000000c32e21c3a4,Cricket Man,YJP,5,https://docs.google.com/document/d/1MS5_3noT2zl1ZUi3L5VYonPJgKChAgWYQow5uhxKWWM/edit?usp=sharing
Education & reference,https://assistant.google.com/services/a/uid/00000073ad45eab7,Amit's Resume,,5,https://docs.google.com/document/d/1mTFlh8yog6-ujKGPNyLxpKpeIlw-8-hqzOUH13Y6mN0/edit?usp=sharing
Games & fun,https://assistant.google.com/services/a/uid/00000070711546ae,Short Jokes,VoiceDove,3.6,https://docs.google.com/document/d/1mWQ-HIbw3-NV_oMxoP3gcfGZVpRN8kOnebgMW8b0-1I/edit?usp=sharing
Education & reference,https://assistant.google.com/services/a/uid/000000769161994d,Programming Skills,Sudarshan Paul,4,https://docs.google.com/document/d/1mwrMYuJZ-bhLTwbXjouY-ZSUBnQruAZDHRN9k9o0h1A/edit?usp=sharing
Games & fun,https://assistant.google.com/services/a/uid/0000004fb7fc4aa9,Guess the animal,,4.3,https://docs.google.com/document/d/1MZgInruMLLMCbzsGRWcJXq1vsgxUsxTL1wz2Y68WEeE
Games & fun,https://assistant.google.com/services/a/uid/000000a34f40eecd,Liberty Prime,Rafael09ED,3.8,https://docs.google.com/document/d/1MZXLMgWMbI21-9p4shVn4rYmT-FLU35XEJ8M8HVVm2I/edit?usp=sharing
Sports,https://assistant.google.com/services/a/uid/00000020d0e5fea5,Football master,Ibit,4.6,https://docs.google.com/document/d/1N50gCwaVcwh2MI8JrkNPOShdOwRt2lxd7NoAAD6EmTo/edit?usp=sharing
Games & fun,https://assistant.google.com/services/a/uid/000000dda8db4ebc,doctor time stone,ANKIT SINGH,4.4,https://docs.google.com/document/d/1n6b16ostGNK6l4urfzOMqAolQca3x8oaME9nK1nnun8/edit?usp=sharing
News & magazines,https://assistant.google.com/services/a/uid/000000f4dbf72e81,Hacker Reader,Mike Phulsuksombati,4.9,https://docs.google.com/document/d/1n7lOkkio68vF0GhTvHn605l--egqsoyRNNBPjdArU3E/edit?usp=sharing
Sports,https://assistant.google.com/services/a/uid/000000461fe17693,Sports Shooter,Richa Sharma,0,https://docs.google.com/document/d/1n8YX2KjxbwKYhLviyYgcHai9W0N5MdHUmGJgXS-7WxE/edit?usp=sharing
Business & finance,https://assistant.google.com/services/a/uid/0000003623bb5d49,Jai Pharma,FusionHawk,0,https://docs.google.com/document/d/1NA0v2KWYBmznQziQ-oZWCOQv1YPuEQQsJqTnh1XT-UM/edit?usp=sharing
Smart home,https://assistant.google.com/services/a/uid/0000008854f2134d,Eldroid,Jaimin Bhanderi,3.8,https://docs.google.com/document/d/1NE6TWlzbYx_m6bZmXlk6yjLZ71-fSGD4e3lF3WqPKX4/edit?usp=sharing
Travel & transportation,https://assistant.google.com/services/a/uid/000000f1c0721d4b,Know Kolkata,,4.8,https://docs.google.com/document/d/1NiBvG_2yNCkVAW4vQe75oVKqko-WnsDyxPU-ZCe5h6o/edit?usp=sharing
Games & fun,https://assistant.google.com/services/a/uid/000000a7621c60c5,Motivate your day to day,Myriam,4.7,https://docs.google.com/document/d/1njaQlqerzFmz-nPIj9vK4huCPfePPlws1wRRHCO1vVA/edit?usp=sharing
Travel & transportation,https://assistant.google.com/services/a/uid/000000047ffc572d,Train Planner,Michael Schilling,3.3,https://docs.google.com/document/d/1NJt20bfnr0XDsZulSg-P2Z169f7fvEHBnGqxfp51sAA/edit?usp=sharing
Food & drink,https://assistant.google.com/services/a/uid/000000fbd294b12d,mr. food food,yash patel,0,https://docs.google.com/document/d/1NJVT73LdcTQHSyFaoBnrAotPErjRcmmc2RCwnzwiJjQ/edit?usp=sharing
Education & reference,https://assistant.google.com/services/a/uid/0000004bc3374c18,Hexadecimal conversion,Yoichiro Tanaka,5,https://docs.google.com/document/d/1NJz7aZOYVgo9mT9KzNJ7rB6w7Bdld2ye92GwAHwwrF4/edit?usp=sharing
Arts & lifestyle,https://assistant.google.com/services/a/uid/000000b956823271,MakeMeUp Quiz,Komal Langalia,5,https://docs.google.com/document/d/1nKBdTDO-HpYELQmSb-hVg2noJnxmv4y0zWUiHCs4ILo/edit?usp=sharing
Sports,https://assistant.google.com/services/a/uid/000000966e7f7eb8,Lionel Messi Quiz,Rishabh Budhiraja,5,https://docs.google.com/document/d/1nkJYuCUFy2tKa2DXaV4B1YmzEGF5K-XylAXCYk47IQ0/edit?usp=sharing
Games & fun,https://assistant.google.com/services/a/uid/000000b659ca1817,I'm Dad,Hexexpeck,3.2,https://docs.google.com/document/d/1nLrloWwba1dfY5qrdmBD3JoDMfJ3BdVvehd97tD2R4s/edit?usp=sharing
Kids & family,https://assistant.google.com/services/a/uid/0000004bc877f01b,Symbol Quiz,Sammit.co,0,https://docs.google.com/document/d/1Nm0JBLEEhFWKXvDmP6NvKR-whOpB6B6OBQNE1RTabks/edit?usp=sharing
Education & reference,https://assistant.google.com/services/a/uid/00000012088d40e9,Computer Knowledge,Ajith P V,0,https://docs.google.com/document/d/1NmX3G3tT4OxnJgXZxE5J5kKcaAnIquw6fU6d1D5RxnA/edit
Health & fitness,https://assistant.google.com/services/a/uid/000000c846f95356,Rishabh's Health Care,Rishabh's Health Care,5,https://docs.google.com/document/d/1nNhjDX3DA_ZaEKQrvjKvDETgwnIXQ1C92fHmQYROcQ8/
Kids & family,https://assistant.google.com/services/a/uid/00000073cca601a1,Biology Test,Swapnanil Dutta,5,https://docs.google.com/document/d/1npd4KuQfUvtev2XciWoWMHWvG-Mj9jYmq4u0qfX8OF8/edit?usp=sharing
Arts & lifestyle,https://assistant.google.com/services/a/uid/000000b1d43a3b30,Dance Human,Pratyusha,0,https://docs.google.com/document/d/1nTuOkti_hGPktE53_YaiPbTNkRzYWdtNnAnYphwp9aA/edit?usp=sharing
Kids & family,https://assistant.google.com/services/a/uid/000000c65d37a2ff,Paw Patrol Trivia,TK,5,https://docs.google.com/document/d/1nuDuLxit9ry7ooX9Ia3zIoNIyM2AnRgVHL8h0114HWA/edit
Games & fun,https://assistant.google.com/services/a/uid/0000004690b3d155,Mr.Coder,RAJ PRAJAPATI,4.4,https://docs.google.com/document/d/1nVh1GNJjl7zCY1gYaAtxfv24YIWziuWpOE9xTEntgbw/edit
Education & reference,https://assistant.google.com/services/a/uid/000000db82bcb5f1,SPORT BUZZ,,4.7,https://docs.google.com/document/d/1Nx4lXhPwo26ZuG91lRT1RqW3vu8EYv9N5v-QELuXDoQ/edit?usp=sharing
Sports,https://assistant.google.com/services/a/uid/00000052036333ee,Fans of Sports,Kushagra Agarwal,5,https://docs.google.com/document/d/1nZDxLK0fOfROEyIax9dHxiMsQINPnojdIE8TwDnGFzI/edit
Education & reference,https://assistant.google.com/services/a/uid/000000c29fcf2284,Be a Ninja,Rgodella,4.9,https://docs.google.com/document/d/1o1Idqb2EkD_yjm-ZIURJuoXJZLXFy3bE7Rghvh6xApA/edit?usp=sharing
Business & finance,https://assistant.google.com/services/a/uid/000000f80e441046,Cryptocurrency Trivia,"N3 Game inc,",5,https://docs.google.com/document/d/1-O5FpX06p7AbVamXolwBaY7sca0ZVyLJuaevIRrYw9w/edit?usp=sharing
Health & fitness,https://assistant.google.com/services/a/uid/000000eb92b4045d,Astonishing Body Facts,Sanjay KV,0,https://docs.google.com/document/d/1O7olLyzZqWekJeX6HPfjSLnE4j6zcd4DmIpUsEYoOVI/edit
Games & fun,https://assistant.google.com/services/a/uid/00000094c5edc13f,Cool Quotes,Julio Cesar Fuente Saugar,4.4,https://docs.google.com/document/d/1O7TV1ji1VicPQydarEY6ykY6Goc8YnLPSZo7Qagyeuk/
Weather,https://assistant.google.com/services/a/uid/000000766e42896a,Mr Breezy,Wesley Huyghe,5,https://docs.google.com/document/d/1o91xCmxPbgwoioBMqPAgIt3mqVBj_FwJRpbQDjNQJVE/edit?usp=sharing
Games & fun,https://assistant.google.com/services/a/uid/0000007326d1768a,BTS ARMY!,Samanvitha,4.9,https://docs.google.com/document/d/1oaI4TWaj10fSwXCQxyqs3p0PFyLyz6T4bGo-Bi6cJM8/edit
Games & fun,https://assistant.google.com/services/a/uid/0000006c0f075061,Science Pickup Lines,,4.1,https://docs.google.com/document/d/1oBrCRsOsllZcrL2xbKMcvsHdh6oKABeDpnz182XLynY/edit?usp=sharing
Arts & lifestyle,https://assistant.google.com/services/a/uid/000000508c20201a,Our Father Prayer,,4.5,https://docs.google.com/document/d/1oBy3O92yA1cSOzqU1mBNVI86dEDCVd-tllfcXk48SlM/edit
Business & finance,https://assistant.google.com/services/a/uid/000000421d9aea0b,Coinbase Price,,4.9,https://docs.google.com/document/d/1ofOVUtut2wtlB4W5Uofguhsf8wJqcwX7pwoY8Pbw6q0/edit?usp=sharing
Business & finance,https://assistant.google.com/services/a/uid/000000c78021750b,Quick Insights,Data Semantics Pvt Ltd,5,https://docs.google.com/document/d/1ohkn-yUk0q4GPEtgW-S2Iu9J_jM-QFwuPLqhiEijQhc/edit?usp=drivesdk
Music & audio,https://assistant.google.com/services/a/uid/000000811e8fdb37,Christmas Tune Producer,Molamil,3.9,https://docs.google.com/document/d/1OJ6hRUdKUCcOCjims0aAsVTyq75-XpChhw-E-oOnwT0/edit?usp=sharing
Local,https://assistant.google.com/services/a/uid/0000006189e8feca,DRL Call Sheets,,5,https://docs.google.com/document/d/1OjKMDiOuUbFlhgIoB4yyaH5EIZWGsTLZ74uFx5kWn6I/edit?usp=sharing
Sports,https://assistant.google.com/services/a/uid/00000001b910ed57,quiz about hockey,Suresh Agarwal,0,https://docs.google.com/document/d/1OjuusdUB0zXpCvwHldp490Cr0TnAtr4wB0Nw2OepNTU/edit?usp=sharing
"Movies, photos & TV",https://assistant.google.com/services/a/uid/000000787b3486dc,movie robot,theabbie,5,https://docs.google.com/document/d/1onzcP42mYtescCx1WNUwpJohsd359il9v7eAzUaxqbY/edit?usp=drivesdk
Education & reference,https://assistant.google.com/services/a/uid/0000005d4ef2fd55,Statue of Unity,Utpal Das,4.3,https://docs.google.com/document/d/1oSMwXfHyl-v9O5LJ5x0jr5oT6iWbRkxY8NRRhvuQXys/edit?usp=sharing
Kids & family,https://assistant.google.com/services/a/uid/000000c23c87bd0f,Simple Maths,SaravananG,5,https://docs.google.com/document/d/1OSV3Ctu67AFEEAN-K3ILq-2o-9VQ7v3mypBPNrTZ4fY
Kids & family,https://assistant.google.com/services/a/uid/000000672baf5451,A Kindergarten test,Avin Patel,5,https://docs.google.com/document/d/1otoJ4Zx0E7EG4x6hLABQA-5zcDG7cqQl5-SB2IXz8zo/edit?usp=drivesdk
Games & fun,https://assistant.google.com/services/a/uid/0000009aa5d2583d,General Knowledge,Radhika,4.5,https://docs.google.com/document/d/1ov2vn7NK-K3CoafqcfBr3hBvJTahznF1VuLoLjqtnb4/edit?usp=sharing
Sports,https://assistant.google.com/services/a/uid/0000005b1e73c251,Spordia NFL,Spordia Softech Pvt Ltd,5,https://docs.google.com/document/d/1oVLqyXoP_8pLyUIc8l3jlRnygnpaBkXt-zts7cMau7A/edit#heading=h.tnl8tk6fvu3f
Kids & family,https://assistant.google.com/services/a/uid/000000aea01fe7f2,Election Year,,5,https://docs.google.com/document/d/1oyV3atWo0_HBffgkwUAT8FM3Tn8IOPGwANkglNW0ha8/edit?usp=sharing
Weather,https://assistant.google.com/services/a/uid/000000247657cb60,YesterWeather,,4,https://docs.google.com/document/d/1oZf8sQCmT73wIv8xJQSLwB7UQaOdSNiXR_JmoZ9o8ZY/edit?usp=sharing
Education & reference,https://assistant.google.com/services/a/uid/0000008e58af1461,Spelling Champ,,5,https://docs.google.com/document/d/1p6GT0nCUAjV7K3N3aJC585iCi08oHhA7UsvTJ_ChJ2Y/edit?usp=sharing
Weather,https://assistant.google.com/services/a/uid/00000043410f7edf,how's the weather on saturn,,4.6,https://docs.google.com/document/d/1p6qk8CVQ-L9Bwe1Hjtz-VKyz21u02Xo7NX2h8t-zKSU/edit#
Local,https://assistant.google.com/services/a/uid/00000049056c8dd5,Pittsburgh Streets,Seth Vargo,4.3,https://docs.google.com/document/d/1pAVXCpnjuCixxaAQmEzBTkL3T7HDCVXVgTVDVbrtdrI
Games & fun,https://assistant.google.com/services/a/uid/000000ba3f782ee2,Fortnite quiz,jaydip dungarani,5,https://docs.google.com/document/d/1PB-Bz5lmMyumnUx_cEnmbzGRW_4rSo119El2eERQaac/edit?usp=sharing
